GEOID,happening,human
21055,58.5,42.487
21057,55.364,40.725
21059,60.985,47.096
21061,59.269,43.474
21063,65.037,49.019
21065,59.122,43.649
21067,72.893,56.075
21069,62.295,46.779
21071,59.164,44.506
21073,67.845,52.244
21075,55.619,41.446
21077,60.043,44.775
21079,58.367,43.241
21081,59.408,43.699
21083,60.992,44.814
21085,60.326,45.081
21087,59.65,43.061
21089,62.159,46.21
21091,59.972,45.339
21093,64.309,46.703
21095,56.187,41.856
21097,61.652,46.038
21099,63.645,47.4
21101,61.361,46.337
21103,62.536,46.629
21105,59.646,43.652
21107,60.735,45.688
21109,59.765,44.977
21111,69.985,51.778
21113,61.967,45.768
21115,55.491,40.901
21117,65.43,48.917
21119,57.308,42.634
21121,57.391,44.278
21123,58.877,43.266
21125,58.01,43.899
21127,53.378,40.614
21129,58.045,43.666
21131,53.082,39.6
21133,57.919,43.451
21135,55.863,42.576
21137,60.203,44.506
21139,56.968,42.135
21141,59.125,43.981
21143,61.269,45.409
21145,59.848,44.872
21147,60.38,44.559
21149,62.804,47.389
21151,63.227,47.187
21153,55.792,40.849
21155,64.566,48.392
21157,61.949,46.673
21159,55.195,40.006
21161,54.486,41.108
21163,60.875,44.382
21165,61.555,46.601
21167,58.841,44.165
21169,60.188,44.501
21171,57.328,42.36
21173,61.024,45.037
21175,58.836,44.12
21177,54.274,41.767
21179,65.662,49.715
21181,60.915,45.642
21183,54.764,41.906
21185,64.441,48.526
21187,61.495,44.844
21189,58.653,44.111
21191,55.773,41.83
21193,56.109,41.665
21195,58.493,43.893
21197,61.96,46.199
21199,56.442,41.115
21201,62.47,46.135
21203,54.747,40.259
21205,66.45,50.695
21207,54.483,40.766
21209,64.197,47.431
21211,65.284,48.882
21213,61.072,44.588
21215,58.451,42.997
21217,59.985,43.999
21219,59.631,43.452
21221,60.199,43.607
21223,54.865,41.549
21225,61.612,45.131
21227,65.923,48.957
21229,62.188,45.987
21231,59.596,44
21233,54.787,41.28
21235,58.316,43.147
21237,63.591,48.935
21239,66.738,49.921
22001,58.877,42.531
22003,59.589,42.635
22005,62.666,46.842
22007,64.486,47.574
22009,63.425,45.887
22011,56.913,40.976
22013,66.833,48.252
22015,61.966,44.56
22017,67.495,50.616
22019,60.534,45.532
22021,60.592,45.523
22023,51.204,38.447
22025,61.653,44.349
22027,63.738,45.476
22029,62.396,44.96
22031,59.343,44.072
22033,69.761,50.972
22035,68.579,49.748
22037,63.127,46.445
22039,62.605,45.259
22041,60.381,43.033
22043,58.371,43.907
22045,65.028,48.382
22047,65.866,48.427
22049,61.275,43.531
22051,67.579,49.39
22053,61.04,43.996
22055,65.375,47.097
22057,60.501,43.679
22059,54.336,39.518
22061,67.651,49.207
22063,56.058,41.198
22065,68.093,49.113
22067,63.837,45.705
22069,68.217,49.386
22071,80.174,61.748
22073,64.065,46.995
22075,61.772,44.808
22077,61.033,44.436
22079,63.256,45.722
22081,61.938,45.416
22083,60.383,43.499
22085,59.689,43.249
22087,62.953,47.127
22089,59.826,43.95
22091,68.434,49.306
22093,67.229,48.626
22095,70.292,51.881
22097,64.621,47.284
22099,64.735,47.056
22101,62.719,46.43
22103,60.675,44.989
22105,63.773,45.982
22107,66.92,48.174
22109,61.093,44.552
22111,58.01,41.901
22113,56.989,41.589
22115,59.55,42.309
22117,62.431,44.334
22119,62.076,45.826
22121,63.274,45.308
22123,54.711,39.673
22125,56.614,41.598
22127,61.658,43.891
23001,71.315,54.949
23003,68.418,51.422
23005,72.619,56.374
23007,73.187,56.675
23009,74.664,57.282
23011,70.935,53.79
23013,73.919,56.726
23015,71.801,54.699
23017,69.624,52.084
23019,69.941,53.447
23021,65.62,49.322
23023,71.869,55.293
23025,67.589,52.312
23027,71.359,54.666
23029,67.601,50.982
23031,72.276,56.305
24001,62.439,46.647
24003,68.675,51.6
24005,76.398,55.611
24009,67.875,50.258
24011,63.728,46.832
24013,63.514,46.891
24015,63.805,48
24017,74.536,56.404
24019,67.148,48.558
24021,69.695,53.615
24023,59.452,43.261
24025,66.812,49.474
24027,74.928,57.69
24029,70.685,52.413
24031,82.153,65.677
24033,78.127,60.528
24035,65.641,48.068
24037,66.313,49.105
24039,69.31,52.123
24041,66.464,48.332
24043,65.362,49.563
24045,69.081,50.113
24047,66.794,49.657
24510,79.99,57.965
25001,71.814,53.962
25003,72.55,56.41
25005,71.953,57.186
25007,75.804,58.298
25009,72.31,55.498
25011,74.3,58.051
25013,72.62,55.535
25015,79.417,61.492
25017,75.664,60.104
25019,73.082,54.645
25021,75.734,59.726
25023,72.75,55.737
25025,81.238,65.586
25027,70.803,54.492
26001,63.381,46.606
26003,67.697,50.39
26005,63.627,48.997
26007,66.532,49.444
26009,65.656,48.385
26011,64.975,48.646
26013,66.065,50.592
26015,63.72,47.716
26017,66.017,50.969
26019,67.551,50.352
26021,64.691,48.449
26023,63.367,47.109
26025,68.177,51.233
26027,61.955,46.284
26029,66.759,49.858
26031,66.078,49.189
26033,67.977,50.953
26035,65.699,50.303
26037,65.626,48.355
26039,65.342,48.356
26041,63.782,48.438
26043,63.705,47.646
26045,68.893,51.02
26047,66.397,48.642
26049,72.078,55.841
26051,64.874,49.104
26053,66.492,52.002
26055,67.055,49.742
26057,67.403,51.17
26059,62.868,47.27
26061,68.673,50.265
26063,63.592,46.963
26065,75.552,59.565
26067,64.143,47.955
26069,65.441,48.906
26071,64.874,47.825
